product_id,product_name,product_group_id,price,stock_quantity,description,manufacturer,supplier_id,weight,dimensions,created_at,updated_at
1,Smartphone A1,1,699.99,50,"A high-end smartphone with 128GB storage","BrandTech",101,0.15,"6.1 x 2.9 x 0.3 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
2,Laptop X200,2,1299.99,30,"Powerful laptop with 16GB RAM and 512GB SSD","CompuTech",102,1.5,"13.3 x 9.1 x 0.6 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
3,Tablet Z10,3,499.99,70,"10-inch tablet with 64GB storage","TabWorld",103,0.5,"9.8 x 6.8 x 0.3 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
4,Smartwatch S3,4,199.99,100,"Smartwatch with heart rate monitor and GPS","WearableTech",104,0.05,"1.6 x 1.6 x 0.4 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
5,Wireless Earbuds B2,5,129.99,150,"Noise-cancelling wireless earbuds","AudioPlus",105,0.02,"2.5 x 2.5 x 1 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
6,4K TV 55",6,799.99,20,"55-inch 4K Ultra HD Smart TV","VisionElectronics",106,15,"48.9 x 28.1 x 2.3 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
7,Digital Camera D5,7,499.99,40,"Digital camera with 24.2MP sensor and 4K video recording","CaptureTech",107,0.6,"5.0 x 3.9 x 2.9 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
8,Bluetooth Speaker S1,8,99.99,80,"Portable Bluetooth speaker with 12-hour battery life","SoundWave",108,0.3,"7.0 x 2.9 x 2.7 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
9,Smart Home Hub H2,9,149.99,60,"Smart home hub with voice assistant integration","HomeSmart",109,0.4,"3.5 x 3.5 x 1.7 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
10,Gaming Console G1,10,499.99,25,"Next-gen gaming console with 1TB storage","GameMaster",110,3.5,"15.4 x 10.2 x 4.1 inches","2023-06-21 10:00:00","2023-06-21 10:00:00"
