trend_id,product_group_id,trend_description,start_date,end_date,trend_impact,region,market_share,growth_rate,created_at,updated_at
1,50,Increase in demand for drones,2020-03-27,2023-08-13,Neutral,South America,94.75,-7.52,2024-04-26 16:46:29,2020-10-19 13:04:05
2,28,High sales of electric scooters,2023-05-21,2021-12-25,Positive,Africa,4.02,9.74,2020-08-10 13:28:22,2024-05-11 02:44:20
3,32,Growth in virtual reality equipment sales,2024-03-19,2021-02-17,Negative,South America,52.94,-8.18,2024-02-25 13:12:00,2020-07-18 01:22:35
4,41,Expansion of robotic vacuum market,2021-10-09,2021-01-21,Neutral,Africa,46.16,4.94,2021-08-18 05:52:49,2020-06-18 16:09:44
5,26,Growth in fitness tracker sales,2023-01-12,2021-12-01,Neutral,North America,63.83,2.09,2022-01-12 08:36:49,2021-07-25 03:27:15
6,47,Increase in demand for 4K TVs,2024-07-04,2020-09-28,Positive,Africa,82.96,1.47,2021-01-28 08:35:29,2022-08-09 05:34:26
7,43,Surge in smart speaker adoption,2023-05-16,2022-08-26,Neutral,Australia,36.38,-8.58,2023-11-27 11:10:40,2023-11-26 21:02:06
8,16,Expansion of robotic vacuum market,2022-12-08,2023-11-15,Neutral,Australia,99.83,2.54,2022-07-23 12:22:00,2023-10-04 10:05:19
9,28,Expansion of wireless earbuds market,2022-06-20,2020-05-26,Neutral,Asia,37.88,-7.05,2023-10-18 13:54:59,2020-04-10 15:18:53
10,38,Rise in demand for high-end headphones,2020-05-30,2022-08-26,Positive,Asia,27.64,3.5,2023-03-20 16:28:09,2020-03-16 06:50:37
11,23,Growth in fitness tracker sales,2020-05-09,2024-02-16,Neutral,Asia,12.26,7.07,2020-09-12 01:24:05,2022-03-11 18:45:12
12,50,Rise in demand for high-end headphones,2021-01-12,2023-10-30,Positive,South America,75.32,3.63,2022-01-28 20:51:55,2023-08-27 19:57:03
13,40,Rise in portable power bank market,2020-10-22,2022-11-18,Neutral,Africa,34.06,7.74,2024-07-16 02:04:55,2022-06-08 10:27:47
14,42,Increase in demand for smartwatches,2023-09-09,2022-07-17,Positive,South America,32.68,2.68,2023-10-04 17:32:16,2023-07-15 10:38:42
15,23,Rise in portable power bank market,2020-03-22,2022-11-20,Negative,Asia,17.13,1.58,2024-02-01 21:00:38,2022-02-09 19:24:11
16,39,Increase in demand for drones,2024-03-13,2022-04-12,Negative,Europe,73.49,-7.14,2020-06-01 01:28:28,2023-04-24 10:41:06
17,18,Increase in demand for 4K TVs,2023-12-06,2020-05-03,Negative,Australia,92.32,-8.8,2021-07-31 20:30:45,2024-07-05 06:43:00
18,18,Growth in wearable technology market,2024-01-16,2021-05-10,Neutral,Africa,45.87,2.75,2024-01-05 13:13:51,2024-06-10 05:07:16
19,42,Increase in demand for drones,2021-04-25,2024-06-05,Negative,Australia,11.69,-5.12,2021-08-17 13:05:49,2024-01-08 04:25:28
20,4,Increase in electric bike market,2023-04-09,2023-06-20,Negative,Australia,87.83,7.15,2022-07-26 06:15:06,2021-08-03 20:16:15
