product_group_id,product_group_name,description,created_at,updated_at
1,Smartphones,"Group of high-end smartphones with advanced features","2021-01-01 00:00:00","2021-01-01 00:00:00"
2,Laptops,"Group of powerful laptops with high storage and performance","2021-01-01 00:00:00","2021-01-01 00:00:00"
3,Tablets,"Group of tablets with large screens and high storage capacity","2021-01-01 00:00:00","2021-01-01 00:00:00"
4,Smartwatches,"Group of smartwatches with health monitoring and fitness tracking","2021-01-01 00:00:00","2021-01-01 00:00:00"
5,Wireless Earbuds,"Group of noise-cancelling wireless earbuds with high-quality sound","2021-01-01 00:00:00","2021-01-01 00:00:00"
6,4K TVs,"Group of 4K Ultra HD Smart TVs with large screens","2021-01-01 00:00:00","2021-01-01 00:00:00"
7,Digital Cameras,"Group of digital cameras with high megapixel sensors and 8K video recording","2021-01-01 00:00:00","2021-01-01 00:00:00"
8,Bluetooth Speakers,"Group of portable Bluetooth speakers with long battery life","2021-01-01 00:00:00","2021-01-01 00:00:00"
9,Smart Home Hubs,"Group of smart home hubs with advanced AI and home automation features","2021-01-01 00:00:00","2021-01-01 00:00:00"
10,Gaming Consoles,"Group of next-gen gaming consoles with large storage and VR support","2021-01-01 00:00:00","2021-01-01 00:00:00"
